BoroCD *,Shape *,FID_STP_NTA_HVI_PGI_REFERENCE,OBJECTID,BoroName,BoroCT2010,PUMA,NTAName,NTACode,Shape_Leng,Borough,ONENYC_HVI,QUINTILES,PGI,PGI_Percent,PGI_High_Low,FID_STP_Neighborhood_Planting_Cycle,BoroCode,BoroName,CommunityBoardWater,CouncilDistrictWater,Zone ID,SUM_Planting_Potential_Cut,Year,Zone_Before,Zone_After,Contract_Area_Percentage,Year_Group,Borough_Year_Group,Phase,Unique,Full_Year,Shape_Length,Shape_Area,Ratio
2228,Polygon,1464,1380,Bronx,2028900,3701,Spuyten Duyvil-Kingsbridge,BX29,6077.633785,2,0.233528,3,0.063395,6.34,High,94,2,Bronx,208,11,1,227,4,4681334.813,<Null>,<Null>,6-Apr,"Bronx, Year 4-6",Phase 2,BX08111_2030_2,2030,470.073647,8400.901958,17.8714591
1458,Polygon,880,809,Bronx,2032400,3704,Bronxdale,BX07,7625.534428,2,0.33,3,0.064049,6.4,High,134,2,Bronx,211,13,8,169,7,4751005.768,<Null>,<Null>,9-Jul,"Bronx, Year 7-9",Phase 3,BX11138_2033_3,2033,1229.362099,8442.930236,6.867732658
3470,Polygon,2216,2075,Bronx,2019400,3703,Schuylerville-Throgs Neck-Edgewater Park,BX52,15571.16117,2,0.308497,3,0.052378,5.24,Low,110,2,Bronx,209,18,6,136,2,16075406.79,<Null>,<Null>,3-Jan,"Bronx, Year 1-3",Phase 1,BX09186_2028_1,2028,1580.935949,9624.576852,6.087898032
667,Polygon,237,201,Brooklyn,3013600,4013,Bay Ridge,BK31,8233.665426,3,-3.429728,1,0.058785,5.88,Low,210,3,Brooklyn,310,38,3,209,5,9282077.12,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK10383_2031_2,2031,1768.578238,10051.40547,5.683325312
3544,Polygon,2251,2110,Staten Island,5006700,3903,New Brighton-Silver Lake,SI35,16182.03024,5,-6.699771,1,0.091963,9.2,High,404,5,Staten Island,501,49,4,1168,4,44367182.88,<Null>,<Null>,6-Apr,"Staten Island, Year 4-6",Phase 2,ST01494_2030_2,2030,1827.320613,10084.00326,5.518464131
2526,Polygon,1649,1555,Queens,4055900,4110,Ridgewood,QN20,5593.698282,4,2.952951,5,0.057629,5.76,Low,311,4,Queens,405,32,7,564,6,54895956.61,<Null>,<Null>,6-Apr,"Queens, Year 4-6",Phase 2,QN05327_2032_2,2032,1007.515609,10607.49056,10.5283635
2371,Polygon,1557,1469,Queens,4079300,4106,park-cemetery-etc-Queens,QN99,15759.4095,4,0,0,0.064509,6.45,High,325,4,Queens,407,20,9,669,8,20072827.09,<Null>,<Null>,9-Jul,"Queens, Year 7-9",Phase 3,QN07209_2034_3,2034,4149.987142,10676.83848,2.572740135
3446,Polygon,2206,2066,Bronx,2043500,3702,park-cemetery-etc-Bronx,BX99,45816.14272,2,1.833648,4,0.07408,7.41,High,100,2,Bronx,208,11,7,166,1,10381152.82,<Null>,<Null>,3-Jan,"Bronx, Year 1-3",Phase 1,BX08117_2027_1,2027,1019.4738,10786.73902,10.58069272
2608,Polygon,1701,1599,Manhattan,1031704,3810,Battery Park City-Lower Manhattan,MN25,9087.985612,1,-5.159423,1,0.042571,4.26,Low,9,1,Manhattan,101,1,3,172,2,3516607.9,<Null>,<Null>,3-Jan,"Manhattan, Year 1-3",Phase 1,MN01013_2028_1,2028,1904.412367,11608.01181,6.095324736
2351,Polygon,1544,1456,Queens,4046600,4106,Jamaica Estates-Holliswood,QN06,7907.05795,4,-3.06628,1,0.064509,6.45,High,370,4,Queens,412,27,8,508,4,14397147.78,<Null>,<Null>,6-Apr,"Queens, Year 4-6",Phase 2,QN12278_2030_2,2030,462.249415,11824.28238,25.57987527
